subject_id,session_id,run_id,task,median,scale,n_brain_voxels,source_volume_path
ICC103A,1,001,rest10,348.4649658203125,166.5223861694335,113172,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC103A/_referencetype_standard/_run_001_session_1_task_name_rest10/sub-ICC103A_ses-1_task-rest10_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz
ICC111A,1,002,videos,390.6421813964844,188.70562896728507,112792,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC111A/_referencetype_standard/_run_002_session_1_task_name_videos/sub-ICC111A_ses-1_task-videos_dir-AP_run-002_bold_mcf_corrected_flirt.nii.gz
ICC107A,1,001,videos,348.96929931640625,153.0935119628906,113171,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC107A/_referencetype_standard/_run_001_session_1_task_name_videos/sub-ICC107A_ses-1_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz
ICC111,1,001,videos,285.89581298828125,168.66021728515625,107146,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC111/_referencetype_standard/_run_001_session_1_task_name_videos/sub-ICC111_ses-1_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz
ICC105,2,001,rest10,291.07684326171875,160.82807998657228,107146,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC105/_referencetype_standard/_run_001_session_2_task_name_rest10/sub-ICC105_ses-2_task-rest10_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz
ICC111,1,003,videos,284.3185119628906,167.78501892089844,107146,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC111/_referencetype_standard/_run_003_session_1_task_name_videos/sub-ICC111_ses-1_task-videos_dir-AP_run-003_bold_mcf_corrected_flirt.nii.gz
ICC113,1,001,videos,291.93450927734375,179.19235382080078,107146,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC113/_referencetype_standard/_run_001_session_1_task_name_videos/sub-ICC113_ses-1_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz
ICC111A,1,001,videos,391.98370361328125,175.49462890625,113172,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC111A/_referencetype_standard/_run_001_session_1_task_name_videos/sub-ICC111A_ses-1_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz
ICC113,2,001,videos,281.76885986328125,180.041259765625,107146,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC113/_referencetype_standard/_run_001_session_2_task_name_videos/sub-ICC113_ses-2_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz
ICC113A,1,001,videos,413.0606689453125,188.4097610473633,113172,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC113A/_referencetype_standard/_run_001_session_1_task_name_videos/sub-ICC113A_ses-1_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz
ICC113A,1,002,videos,412.2544860839844,174.04000854492188,113172,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC113A/_referencetype_standard/_run_002_session_1_task_name_videos/sub-ICC113A_ses-1_task-videos_dir-AP_run-002_bold_mcf_corrected_flirt.nii.gz
ICC113,1,002,videos,291.4963684082031,181.5646209716797,107146,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC113/_referencetype_standard/_run_002_session_1_task_name_videos/sub-ICC113_ses-1_task-videos_dir-AP_run-002_bold_mcf_corrected_flirt.nii.gz
ICC115,1,002,videos,237.03256225585938,131.04623718261718,107146,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC115/_referencetype_standard/_run_002_session_1_task_name_videos/sub-ICC115_ses-1_task-videos_dir-AP_run-002_bold_mcf_corrected_flirt.nii.gz
ICC117,1,001,videos,331.73236083984375,210.15419845581056,107146,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC117/_referencetype_standard/_run_001_session_1_task_name_videos/sub-ICC117_ses-1_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz
