,Cont,Default,DorsAttn,Limbic,SalVentAttn,SomMot,Vis
Cont,0.16746916,0.16033041,0.1142319,0.10987248,0.0802138,0.0007677208,0.10804869
Default,0.16033041,0.17501925,0.079194784,0.105955735,0.08872911,-0.015946506,0.0886011
DorsAttn,0.1142319,0.079194784,0.14751185,0.06058446,0.041809842,0.036377408,0.1199016
Limbic,0.10987248,0.105955735,0.06058446,0.1250558,0.050507247,-0.011287458,0.071897924
SalVentAttn,0.0802138,0.08872911,0.041809842,0.050507247,0.06548353,0.012507814,0.015518209
SomMot,0.0007677208,-0.015946506,0.036377408,-0.011287458,0.012507814,0.04541501,-0.0119838305
Vis,0.10804869,0.0886011,0.1199016,0.071897924,0.015518209,-0.0119838305,0.18219781
