subject,session,run,task,input_path,output_path,mask_used,output_exists,file_loadable,dims_match,n_volumes,input_shape,output_shape,n_brain_voxels,n_zero_outside_brain,pct_outside_zeroed,mean_signal_brain,brain_has_signal,n_zero_volumes,status,notes
IRN1A,2_task_name_videos,001,videos,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/normalized_to_common_space/_subject_id_IRN1A/_referencetype_standard/_run_001_session_2_task_name_videos/sub-IRN1A_ses-2_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/normalized_to_common_space_cycleGANS_preprocessed_data/_subject_id_IRN1A/_referencetype_standard/_run_001_session_2_task_name_videos/sub-IRN1A_ses-2_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt_masked.nii.gz,nihpd_asym_08-11_fcgmask_2mm.nii.gz,True,True,True,485,"(97, 116, 79, 485)","(97, 116, 79, 485)",113172,0,100.0,367.8145,True,0,PASS,
IRN1A,2_task_name_videos,002,videos,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/normalized_to_common_space/_subject_id_IRN1A/_referencetype_standard/_run_002_session_2_task_name_videos/sub-IRN1A_ses-2_task-videos_dir-AP_run-002_bold_mcf_corrected_flirt.nii.gz,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/normalized_to_common_space_cycleGANS_preprocessed_data/_subject_id_IRN1A/_referencetype_standard/_run_002_session_2_task_name_videos/sub-IRN1A_ses-2_task-videos_dir-AP_run-002_bold_mcf_corrected_flirt_masked.nii.gz,nihpd_asym_08-11_fcgmask_2mm.nii.gz,True,True,True,257,"(97, 116, 79, 257)","(97, 116, 79, 257)",113172,0,100.0,368.8023,True,0,PASS,
IRN20,1_task_name_rest10,001,rest10,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/normalized_to_common_space/_subject_id_IRN20/_referencetype_standard/_run_001_session_1_task_name_rest10/sub-IRN20_ses-1_task-rest10_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/normalized_to_common_space_cycleGANS_preprocessed_data/_subject_id_IRN20/_referencetype_standard/_run_001_session_1_task_name_rest10/sub-IRN20_ses-1_task-rest10_dir-AP_run-001_bold_mcf_corrected_flirt_masked.nii.gz,nihpd_asym_02-05_fcgmask_2mm.nii.gz,True,True,True,1000,"(97, 116, 79, 1000)","(97, 116, 79, 1000)",107146,0,100.0,229.7652,True,0,PASS,
IRN20,1_task_name_videos,001,videos,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/normalized_to_common_space/_subject_id_IRN20/_referencetype_standard/_run_001_session_1_task_name_videos/sub-IRN20_ses-1_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/normalized_to_common_space_cycleGANS_preprocessed_data/_subject_id_IRN20/_referencetype_standard/_run_001_session_1_task_name_videos/sub-IRN20_ses-1_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt_masked.nii.gz,nihpd_asym_02-05_fcgmask_2mm.nii.gz,True,True,True,235,"(97, 116, 79, 235)","(97, 116, 79, 235)",107146,0,100.0,230.5075,True,0,PASS,
IRN20,2_task_name_videos,001,videos,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/normalized_to_common_space/_subject_id_IRN20/_referencetype_standard/_run_001_session_2_task_name_videos/sub-IRN20_ses-2_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/normalized_to_common_space_cycleGANS_preprocessed_data/_subject_id_IRN20/_referencetype_standard/_run_001_session_2_task_name_videos/sub-IRN20_ses-2_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt_masked.nii.gz,nihpd_asym_02-05_fcgmask_2mm.nii.gz,True,True,True,485,"(97, 116, 79, 485)","(97, 116, 79, 485)",107146,0,100.0,235.8914,True,0,PASS,
IRN20,1_task_name_videos,002,videos,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/normalized_to_common_space/_subject_id_IRN20/_referencetype_standard/_run_002_session_1_task_name_videos/sub-IRN20_ses-1_task-videos_dir-AP_run-002_bold_mcf_corrected_flirt.nii.gz,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/normalized_to_common_space_cycleGANS_preprocessed_data/_subject_id_IRN20/_referencetype_standard/_run_002_session_1_task_name_videos/sub-IRN20_ses-1_task-videos_dir-AP_run-002_bold_mcf_corrected_flirt_masked.nii.gz,nihpd_asym_02-05_fcgmask_2mm.nii.gz,True,True,True,180,"(97, 116, 79, 180)","(97, 116, 79, 180)",107146,0,100.0,226.8706,True,0,PASS,
IRN20,2_task_name_videos,002,videos,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/normalized_to_common_space/_subject_id_IRN20/_referencetype_standard/_run_002_session_2_task_name_videos/sub-IRN20_ses-2_task-videos_dir-AP_run-002_bold_mcf_corrected_flirt.nii.gz,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/normalized_to_common_space_cycleGANS_preprocessed_data/_subject_id_IRN20/_referencetype_standard/_run_002_session_2_task_name_videos/sub-IRN20_ses-2_task-videos_dir-AP_run-002_bold_mcf_corrected_flirt_masked.nii.gz,nihpd_asym_02-05_fcgmask_2mm.nii.gz,True,True,True,485,"(97, 116, 79, 485)","(97, 116, 79, 485)",107146,0,100.0,234.0038,True,0,PASS,
IRN20A,1_task_name_rest10,001,rest10,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/normalized_to_common_space/_subject_id_IRN20A/_referencetype_standard/_run_001_session_1_task_name_rest10/sub-IRN20A_ses-1_task-rest10_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/normalized_to_common_space_cycleGANS_preprocessed_data/_subject_id_IRN20A/_referencetype_standard/_run_001_session_1_task_name_rest10/sub-IRN20A_ses-1_task-rest10_dir-AP_run-001_bold_mcf_corrected_flirt_masked.nii.gz,nihpd_asym_08-11_fcgmask_2mm.nii.gz,True,True,True,1000,"(97, 116, 79, 1000)","(97, 116, 79, 1000)",113172,0,100.0,413.9638,True,0,PASS,
IRN20A,1_task_name_videos,001,videos,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/normalized_to_common_space/_subject_id_IRN20A/_referencetype_standard/_run_001_session_1_task_name_videos/sub-IRN20A_ses-1_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/normalized_to_common_space_cycleGANS_preprocessed_data/_subject_id_IRN20A/_referencetype_standard/_run_001_session_1_task_name_videos/sub-IRN20A_ses-1_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt_masked.nii.gz,nihpd_asym_08-11_fcgmask_2mm.nii.gz,True,True,True,485,"(97, 116, 79, 485)","(97, 116, 79, 485)",113172,0,100.0,412.8587,True,0,PASS,
IRN20A,1_task_name_videos,002,videos,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/normalized_to_common_space/_subject_id_IRN20A/_referencetype_standard/_run_002_session_1_task_name_videos/sub-IRN20A_ses-1_task-videos_dir-AP_run-002_bold_mcf_corrected_flirt.nii.gz,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/normalized_to_common_space_cycleGANS_preprocessed_data/_subject_id_IRN20A/_referencetype_standard/_run_002_session_1_task_name_videos/sub-IRN20A_ses-1_task-videos_dir-AP_run-002_bold_mcf_corrected_flirt_masked.nii.gz,nihpd_asym_08-11_fcgmask_2mm.nii.gz,True,True,True,485,"(97, 116, 79, 485)","(97, 116, 79, 485)",113172,0,100.0,414.0512,True,0,PASS,
