,Cont,Default,DorsAttn,Limbic,SalVentAttn,SomMot,Vis
Cont,0.26613402,0.2757976,0.173726,0.19422565,0.17061305,-0.0084774075,0.1521473
Default,0.2757976,0.31209645,0.13427931,0.19871397,0.19127147,-0.042251736,0.15035659
DorsAttn,0.173726,0.13427931,0.22281203,0.11040888,0.07423123,0.042609558,0.18887943
Limbic,0.19422565,0.19871397,0.11040888,0.25041756,0.13349698,-0.0056874994,0.116528586
SalVentAttn,0.17061305,0.19127147,0.07423123,0.13349698,0.15945767,-0.0059791096,0.03424461
SomMot,-0.0084774075,-0.042251736,0.042609558,-0.0056874994,-0.0059791096,0.05032194,-0.039746474
Vis,0.1521473,0.15035659,0.18887943,0.116528586,0.03424461,-0.039746474,0.28882584
