metric,n,mean,std,median,q25,q75,min,max
par_fd_mean,28041,1.9362143307919595,0.7267324122697435,1.7448054415789471,1.3856949431578947,2.317488322947368,0.9043470842105265,5.744505315789474
par_fd_max,28041,4.93563131042395,2.06216050824523,4.5081710500000005,3.2718567800000002,6.2477005000000005,1.45432498,9.987247
par_fd_std,28041,1.1944794396339928,0.5414337892774572,1.0815364295028829,0.7633955685835287,1.5357630529081916,0.23917628464678128,3.395272177952694
csv_mean_fd,28041,1.9323141929674406,0.7171239237457647,1.74312,1.388746,2.309591,1.000508,5.674482
csv_max_fd,28041,5.004157725473414,2.0679876258461833,4.594993,3.324579,6.321234,1.530469,9.987247
dvars_mean,18210,3.9918424340213545,1.6069978131724905,3.6513978242874146,2.8788866996765137,4.700896263122559,1.4767351150512695,15.328134536743164
dvars_max,18210,7.492285724454762,3.0133457839983753,6.933546304702759,5.419313430786133,8.93660831451416,1.9505912065505981,23.552955627441406
tsnr_mean,18210,45.67395775657248,13.44778640237661,45.06900596618652,35.742177963256836,54.1193151473999,14.236727714538574,107.07735443115234
tsnr_median,18210,43.79306158199866,13.020936288521382,43.150821685791016,34.18073749542236,51.86822032928467,14.21496868133545,104.52761840820312
gs_mean,18210,35.92542303379652,7.665942754601414,33.04092597961426,30.885541439056396,39.41336536407471,26.484649658203125,59.964393615722656
gs_std,18210,0.39468156124645704,0.2225102411314347,0.34275035560131073,0.24591117724776268,0.4864230528473854,0.061434388160705566,1.9391118288040161
intensity_min,18210,-0.5162914679886652,2.6796068448385966,0.0,0.0,0.0,-38.93890380859375,0.0
intensity_max,18210,509.6576428735472,100.66577385700171,488.5647277832031,436.26116943359375,549.0,342.756103515625,989.0
intensity_mean,18210,35.925428676448114,7.665948009369116,33.040876388549805,30.885491371154785,39.41335582733154,26.484651565551758,59.964500427246094
