subject,session,run,order_label,segment_num,n_orders_in_run,skip,short_segment,t_r,n_volumes,first_video_onset,first_video_name,scan_start_idx,scan_end_idx,n_frames,bold_path,events_path,json_path
ICC225,1,1,B,2.0,2,False,False,0.61,485.0,146.00811449997127,bathsong,239.0,473.0,234.0,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/normalized_to_common_space/_subject_id_ICC225/_referencetype_standard/_run_001_session_1_task_name_videos/sub-ICC225_ses-1_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC225/ses-1/func/sub-ICC225_ses-1_task-videos_dir-AP_run-001_events.tsv,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC225/ses-1/func/sub-ICC225_ses-1_task-videos_dir-AP_run-001_bold.json
ICC225,2,1,C,1.0,2,False,False,0.61,485.0,4.652395800221711,new_orleans,8.0,242.0,234.0,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/normalized_to_common_space/_subject_id_ICC225/_referencetype_standard/_run_001_session_2_task_name_videos/sub-ICC225_ses-2_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC225/ses-2/func/sub-ICC225_ses-2_task-videos_dir-AP_run-001_events.tsv,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC225/ses-2/func/sub-ICC225_ses-2_task-videos_dir-AP_run-001_bold.json
ICC225,2,1,B,2.0,2,False,False,0.61,485.0,145.23629860021174,bathsong,238.0,472.0,234.0,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/normalized_to_common_space/_subject_id_ICC225/_referencetype_standard/_run_001_session_2_task_name_videos/sub-ICC225_ses-2_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC225/ses-2/func/sub-ICC225_ses-2_task-videos_dir-AP_run-001_events.tsv,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC225/ses-2/func/sub-ICC225_ses-2_task-videos_dir-AP_run-001_bold.json
ICC225,1,2,C,1.0,2,False,False,0.61,485.0,8.954193299636245,new_orleans,15.0,249.0,234.0,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/normalized_to_common_space/_subject_id_ICC225/_referencetype_standard/_run_002_session_1_task_name_videos/sub-ICC225_ses-1_task-videos_dir-AP_run-002_bold_mcf_corrected_flirt.nii.gz,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC225/ses-1/func/sub-ICC225_ses-1_task-videos_dir-AP_run-002_events.tsv,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC225/ses-1/func/sub-ICC225_ses-1_task-videos_dir-AP_run-002_bold.json
ICC225,1,2,B,2.0,2,False,True,0.61,485.0,154.98661440005526,bathsong,254.0,485.0,231.0,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/normalized_to_common_space/_subject_id_ICC225/_referencetype_standard/_run_002_session_1_task_name_videos/sub-ICC225_ses-1_task-videos_dir-AP_run-002_bold_mcf_corrected_flirt.nii.gz,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC225/ses-1/func/sub-ICC225_ses-1_task-videos_dir-AP_run-002_events.tsv,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC225/ses-1/func/sub-ICC225_ses-1_task-videos_dir-AP_run-002_bold.json
ICC225,1,3,C,1.0,2,False,False,0.61,485.0,3.998342199716717,new_orleans,7.0,241.0,234.0,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/normalized_to_common_space/_subject_id_ICC225/_referencetype_standard/_run_003_session_1_task_name_videos/sub-ICC225_ses-1_task-videos_dir-AP_run-003_bold_mcf_corrected_flirt.nii.gz,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC225/ses-1/func/sub-ICC225_ses-1_task-videos_dir-AP_run-003_events.tsv,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC225/ses-1/func/sub-ICC225_ses-1_task-videos_dir-AP_run-003_bold.json
ICC225,1,3,B,2.0,2,False,False,0.61,485.0,146.3588115000166,bathsong,240.0,474.0,234.0,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/normalized_to_common_space/_subject_id_ICC225/_referencetype_standard/_run_003_session_1_task_name_videos/sub-ICC225_ses-1_task-videos_dir-AP_run-003_bold_mcf_corrected_flirt.nii.gz,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC225/ses-1/func/sub-ICC225_ses-1_task-videos_dir-AP_run-003_events.tsv,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC225/ses-1/func/sub-ICC225_ses-1_task-videos_dir-AP_run-003_bold.json
ICC227,1,1,C,1.0,2,False,False,0.61,485.0,8.967873299960047,new_orleans,15.0,249.0,234.0,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/normalized_to_common_space/_subject_id_ICC227/_referencetype_standard/_run_001_session_1_task_name_videos/sub-ICC227_ses-1_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC227/ses-1/func/sub-ICC227_ses-1_task-videos_dir-AP_run-001_events.tsv,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC227/ses-1/func/sub-ICC227_ses-1_task-videos_dir-AP_run-001_bold.json
ICC227,1,1,A,2.0,2,False,False,0.61,485.0,150.7999698999338,minions_supermarket,247.0,481.0,234.0,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/normalized_to_common_space/_subject_id_ICC227/_referencetype_standard/_run_001_session_1_task_name_videos/sub-ICC227_ses-1_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC227/ses-1/func/sub-ICC227_ses-1_task-videos_dir-AP_run-001_events.tsv,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC227/ses-1/func/sub-ICC227_ses-1_task-videos_dir-AP_run-001_bold.json
ICC227,2,1,C,1.0,2,False,False,0.61,485.0,4.942901599919424,new_orleans,8.0,242.0,234.0,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/normalized_to_common_space/_subject_id_ICC227/_referencetype_standard/_run_001_session_2_task_name_videos/sub-ICC227_ses-2_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC227/ses-2/func/sub-ICC227_ses-2_task-videos_dir-AP_run-001_events.tsv,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC227/ses-2/func/sub-ICC227_ses-2_task-videos_dir-AP_run-001_bold.json
ICC227,2,1,A,2.0,2,False,False,0.61,485.0,145.1151545997709,minions_supermarket,238.0,472.0,234.0,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/normalized_to_common_space/_subject_id_ICC227/_referencetype_standard/_run_001_session_2_task_name_videos/sub-ICC227_ses-2_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC227/ses-2/func/sub-ICC227_ses-2_task-videos_dir-AP_run-001_events.tsv,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC227/ses-2/func/sub-ICC227_ses-2_task-videos_dir-AP_run-001_bold.json
ICC229,1,1,C,1.0,2,False,False,0.61,485.0,9.021927500143647,new_orleans,15.0,249.0,234.0,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/normalized_to_common_space/_subject_id_ICC229/_referencetype_standard/_run_001_session_1_task_name_videos/sub-ICC229_ses-1_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC229/ses-1/func/sub-ICC229_ses-1_task-videos_dir-AP_run-001_events.tsv,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC229/ses-1/func/sub-ICC229_ses-1_task-videos_dir-AP_run-001_bold.json
ICC229,1,1,F,2.0,2,False,False,0.61,485.0,150.55502839991823,dog,247.0,481.0,234.0,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/normalized_to_common_space/_subject_id_ICC229/_referencetype_standard/_run_001_session_1_task_name_videos/sub-ICC229_ses-1_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC229/ses-1/func/sub-ICC229_ses-1_task-videos_dir-AP_run-001_events.tsv,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC229/ses-1/func/sub-ICC229_ses-1_task-videos_dir-AP_run-001_bold.json
ICC229,1,2,C,1.0,2,False,False,0.61,485.0,9.017065099906176,new_orleans,15.0,249.0,234.0,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/normalized_to_common_space/_subject_id_ICC229/_referencetype_standard/_run_002_session_1_task_name_videos/sub-ICC229_ses-1_task-videos_dir-AP_run-002_bold_mcf_corrected_flirt.nii.gz,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC229/ses-1/func/sub-ICC229_ses-1_task-videos_dir-AP_run-002_events.tsv,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC229/ses-1/func/sub-ICC229_ses-1_task-videos_dir-AP_run-002_bold.json
