,Cont,Default,DorsAttn,Limbic,SalVentAttn,SomMot,Vis
Cont,0.13864553,0.13614494,0.08934386,0.098561816,0.06244491,-0.0043772296,0.08797653
Default,0.13614494,0.15130597,0.061688952,0.09696497,0.07205999,-0.018670578,0.073447205
DorsAttn,0.08934386,0.061688952,0.11339752,0.054242335,0.023566576,0.018696122,0.09685999
Limbic,0.098561816,0.09696497,0.054242335,0.110166535,0.046310544,-0.0059876596,0.06451758
SalVentAttn,0.06244491,0.07205999,0.023566576,0.046310544,0.04585507,-0.0030928147,0.012987427
SomMot,-0.0043772296,-0.018670578,0.018696122,-0.0059876596,-0.0030928147,0.02046959,-0.009820106
Vis,0.08797653,0.073447205,0.09685999,0.06451758,0.012987427,-0.009820106,0.14324242
