metric,n,mean,std,median,q25,q75,min,max
par_fd_mean,1919,0.11507168048595985,0.02196428269106461,0.11597368073684212,0.09979414265789474,0.13041130631578945,0.042418199999999996,0.19397180526315788
par_fd_max,1919,0.19555783569917146,0.034043346506813135,0.19934425999999997,0.173221475,0.223513095,0.06984040000000001,0.24997464999999996
par_fd_std,1919,0.044237873588949254,0.009732693261815917,0.044406355168580276,0.03797863922636984,0.051183975237412395,0.015900770889723113,0.07830279523417474
csv_mean_fd,1919,0.11500588275143304,0.021909293956608216,0.115744,0.1004685,0.130839,0.041008,0.195608
csv_max_fd,1919,0.19626734445023447,0.03386909444238038,0.200014,0.174345,0.22394150000000002,0.083941,0.249975
dvars_mean,1919,1.2172512806536568,0.3149275855181667,1.128595232963562,1.0442120432853699,1.2365687489509583,0.8230383992195129,3.017000198364258
dvars_max,1919,1.339514615605311,0.3417238302931184,1.2391306161880493,1.1432493329048157,1.37290757894516,0.89649897813797,3.3241958618164062
tsnr_mean,1919,151.38875618795979,15.08123411426666,151.6903076171875,143.41767120361328,160.47742462158203,75.46690368652344,207.73348999023438
tsnr_median,1919,138.6790110362949,13.279835709468948,139.0537872314453,131.71722412109375,146.65264892578125,72.92676544189453,184.73342895507812
gs_mean,1919,34.28643151084975,6.423854660243271,32.21864700317383,30.644530296325684,34.33867073059082,26.72000503540039,57.231056213378906
gs_std,1919,0.05593378601499667,0.033309979390938,0.0479118749499321,0.03438791073858738,0.06913596391677856,0.008632182143628597,0.42711126804351807
intensity_min,1919,-0.6796578340229825,2.8411141827263435,0.0,0.0,0.0,-20.410261154174805,0.0
intensity_max,1919,493.2480859165082,106.83276090027478,467.14398193359375,428.75404357910156,541.293212890625,326.2771911621094,902.0
intensity_mean,1919,34.286432332828554,6.423860880534422,32.218605041503906,30.64456081390381,34.338727951049805,26.719989776611328,57.23115158081055
